dataset_kind,dataset_id,dataset_slug,dataset_name,country_code,country_name,disease_id,disease_name_en,disease_name_zh,category,date,year_month,cases,weekly_equiv_cases,deaths,incidence_rate_per_100k,incidence_rate_source,mortality_rate,coverage_start,coverage_end,generated_at,primary_source_scope,primary_source_label,primary_source_url,primary_source_type,source_scopes,source_labels,source_urls,source_types
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2010-01-01,2010-01,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2010-12-01,2010-12,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2011-01-01,2011-01,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2011-02-01,2011-02,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2011-03-01,2011-03,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2011-04-01,2011-04,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2011-05-01,2011-05,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2011-06-01,2011-06,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2011-07-01,2011-07,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2011-08-01,2011-08,1,0.22580645161290322,0,7.351586189943743e-05,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2011-09-01,2011-09,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2011-10-01,2011-10,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2011-11-01,2011-11,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2011-12-01,2011-12,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2012-01-01,2012-01,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2012-02-01,2012-02,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2012-03-01,2012-03,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2012-04-01,2012-04,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2012-05-01,2012-05,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2012-06-01,2012-06,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2012-07-01,2012-07,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2012-08-01,2012-08,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2012-09-01,2012-09,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2012-10-01,2012-10,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2012-11-01,2012-11,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2012-12-01,2012-12,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2013-01-01,2013-01,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2013-02-01,2013-02,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2013-03-01,2013-03,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2013-04-01,2013-04,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2013-05-01,2013-05,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2013-06-01,2013-06,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2013-07-01,2013-07,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2013-08-01,2013-08,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2013-09-01,2013-09,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2013-10-01,2013-10,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2013-11-01,2013-11,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2013-12-01,2013-12,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2014-01-01,2014-01,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2014-02-01,2014-02,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2014-03-01,2014-03,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2014-04-01,2014-04,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2014-05-01,2014-05,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2014-06-01,2014-06,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
